Date,Array Type,Array Number,Tree Number,Soil horizon,Live weight (mg),Dead weight (mg),
25/03/2019,Ghost,8,9454,B,74,166,
25/03/2019,Ghost,9,7370,O,665,406,
25/03/2019,Ghost,9,7370,A,1036,158,
25/03/2019,Ghost,9,7370,B,2998,56,
25/03/2019,Ghost,9,7334,O,164,112,
25/03/2019,Ghost,9,7334,A,277,82,
25/03/2019,Ghost,9,7334,B,550,293,
25/03/2019,Ghost,9,7480,O,663,23,
25/03/2019,Ghost,9,7480,A,540,57,
25/03/2019,Ghost,9,7480,B,1759,195,
