Array Type,Array,z,Root number,Previous sampling date,Current sampling date,Days since 11/04/2017,Days between sampling,Root previous length (cm),Root current length (cm),Root previous width (cm),Root current width (cm),Root previous volume (cm3),Root current volume (cm3),Change in volume (cm3),Est change in Biomass (mg),Increase in volume (cm)
Control,3,3,1,42984,43172,336,188,0.427107074,0.357327727,0.019953274,0.013153082,0.000133553,4.86E-05,-8.5E-05,-0.0255,0
Control,3,6,1,42984,43031,195,47,0,0.588487898,0,0.030797459,0,0.000438387,0.000438387,0.1315161,0.000438387
Control,3,6,1,43031,43054,218,23,0.588487898,0,0.030797459,0,0.000438387,0,-0.000438387,-0.1315161,0
Control,3,6,2,42984,43031,195,47,0,0.374394972,0,0.022582018,0,0.00014995,0.00014995,0.044985,0.00014995
Control,3,6,2,43031,43054,218,23,0.374394972,0,0.022582018,0,0.00014995,0,-0.00014995,-0.044985,0
Control,5,4,1,42863,42905,69,42,0,0.177322853,0,0.083587791,0,0.000973061,0.000973061,0.2919183,0.000973061
Control,5,4,1,42905,42933,97,28,0.177322853,0.363454619,0.083587791,0.065010933,0.000973061,0.00120646,0.000233398,0.0700194,0.000233398
Control,5,4,1,42933,42984,148,51,0.363454619,0.30688596,0.065010933,0.051157631,0.00120646,0.000630794,-0.000575666,-0.1726998,0
Control,5,4,1,42984,43130,294,146,0.30688596,0.253068516,0.051157631,0.062721879,0.000630794,0.000781927,0.000151133,0.0453399,0.000151133
Control,5,4,1,43130,43172,336,42,0.253068516,0.47881363,0.062721879,0.079351665,0.000781927,0.002367928,0.001586001,0.4758003,0.001586001
Control,5,4,2,43026,43054,218,28,0,0.627571837,0,0.079603874,0,0.003123358,0.003123358,0.9370074,0.003123358
Control,5,4,2,43054,43130,294,76,0.627571837,0.810638605,0.079603874,0.093093416,0.003123358,0.005517662,0.002394304,0.7182912,0.002394304
Control,5,4,2,43130,43172,336,42,0.810638605,1.087082893,0.093093416,0.082502132,0.005517662,0.005811428,0.000293766,0.0881298,0.000293766
Control,5,6,1,42836,42905,69,69,0.411585343,0.386775398,0.05203479,0.043306467,0.000875261,0.000569711,-0.00030555,-0.091665,0
Control,5,6,1,42905,42933,97,28,0.386775398,0,0.043306467,0,0.000569711,0,-0.000569711,-0.1709133,0
Control,5,13,1,42836,42905,69,69,0.162591861,0.213953974,0.014764734,0.008812265,2.78E-05,1.3E-05,-1.48E-05,-0.00444,0
