Array Type,Array,z,Root number,Previous sampling date,Current sampling date,Days since 11/04/2017,Days between sampling,Root previous length (cm),Root current length (cm),Production
Treatment,1,6,11,23/10/2017,15/11/2017,218,23,0.7837164,0.9257254,0.001821783
Treatment,1,6,11,15/11/2017,29/01/2018,293,75,0.9257254,0,0
Treatment,1,6,12,06/09/2017,23/10/2017,195,47,0,2.6009064,1.066235346
Treatment,1,6,12,23/10/2017,15/11/2017,218,23,2.6009064,3.3399203,0.002933704
Treatment,1,6,12,15/11/2017,29/01/2018,293,75,3.3399203,0,0
Treatment,1,6,13,06/09/2017,23/10/2017,195,47,0,1.9603297,0.438453082
Treatment,1,6,13,23/10/2017,15/11/2017,218,23,1.9603297,1.8860407,0
Treatment,1,6,13,15/11/2017,29/01/2018,293,75,1.8860407,0,0
Treatment,1,7,1,08/05/2017,19/06/2017,69,42,0,4.4035864,0.851842772
Treatment,1,7,1,19/06/2017,14/07/2017,94,25,4.4035864,4.935516,0.00627529
Treatment,1,7,1,14/07/2017,06/09/2017,148,54,4.935516,1.645172,0
Treatment,1,7,1,06/09/2017,23/10/2017,195,47,1.645172,0,0
Treatment,1,7,2,08/05/2017,19/06/2017,69,42,0,4.811393,0.509368675
Treatment,1,7,2,19/06/2017,14/07/2017,94,25,4.811393,2.019722,0
Treatment,1,7,2,14/07/2017,06/09/2017,148,54,2.019722,2.019722,0
Treatment,1,7,2,06/09/2017,23/10/2017,195,47,2.019722,2.019722,0
Treatment,1,7,2,23/10/2017,15/11/2017,218,23,2.019722,0,0
Treatment,1,7,3,08/05/2017,19/06/2017,69,42,0,0.17867318,0.001930821
Treatment,1,7,4,08/05/2017,19/06/2017,69,42,0,0.1975233,0.007008707
Treatment,1,7,5,08/05/2017,19/06/2017,69,42,0,3.9262314,0.579374294
Treatment,1,7,6,08/05/2017,19/06/2017,69,42,0,0.18078135,0.002204853
Treatment,1,7,7,08/05/2017,19/06/2017,69,42,0,0.058920663,0.001621414
Treatment,1,7,8,08/05/2017,19/06/2017,69,42,0,2.5072389,0.233674345
Treatment,1,7,9,19/06/2017,14/07/2017,94,25,0,4.3487434,0.259958657
Treatment,1,7,10,19/06/2017,14/07/2017,94,25,0,2.5696657,0.22770745
Treatment,1,7,11,19/06/2017,14/07/2017,94,25,0,4.029543,3.754816152
Treatment,1,8,1,11/04/2017,19/06/2017,69,69,3.6483545,3.0205526,0
Treatment,1,8,1,19/06/2017,14/07/2017,94,25,3.0205526,2.7834353,0
